Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
3	22	3	50	0.9	200.3	200.3	200.3
3	27	4	51	0.9	433.5	433.5	433.5
3	26	1	52	0.65	349.8	349.8	349.8
3	21	2	53	0.1	682.3	682.3	682.3
3	36	3	54	0.95	133.4	133.4	133.4
3	33	4	55	0	98.3	313.2	313.2
3	34	1	56	0.6	200.2	200.2	200.2
3	24	2	57	0.4	465.3	465.3	465.3
3	30	3	58	0.65	699.7	699.7	699.7
3	31	4	59	0.8	515.9	2515.1	4561.5
3	25	1	60	0.1	224.8	224.8	224.8
3	40	2	61	0.05	1282.1	1282.1	1282.1
3	8	3	62	0	966.3	966.3	1117.3
3	17	4	63	0.15	299.8	299.8	550
3	18	1	64	0	249.3	401	800.8
3	29	2	65	0	133.8	133.8	783.8
3	10	3	66	0.15	533.4	1417.1	1417.1
3	37	4	67	0.05	415.7	415.7	849.4
3	38	1	68	0.05	0	0	0
3	35	2	69	0	249.9	249.9	2116
3	32	3	70	0.3	715.1	1131.3	1131.3
3	16	4	71	0.05	333.6	333.6	333.6
3	12	1	72	0.6	0	0	0
3	20	2	73	0	400.1	1383	1750.6
3	5	3	74	0	200.7	1018.1	1018.1
3	14	4	75	0.45	416.5	416.5	416.5
3	39	1	76	0	0	0	0
3	2	2	77	0	1299.5	1982.6	1982.6
3	15	3	78	0.05	217.5	217.5	1000.4
3	9	4	79	0.1	383.2	1566.1	1566.1
3	7	1	80	0.6	866.6	866.6	866.6
4	8	3	1	0	617.6	1300.7	1300.7
4	27	4	2	0.2	0	0	0
4	25	1	3	0.2	149.9	149.9	700.2
4	9	2	4	0	615.4	615.4	1431.7
4	20	3	5	0.4	1334	1334	1334
4	6	4	6	0.95	833	1832.2	1832.2
4	21	1	7	0	166.1	166.1	166.1
4	31	2	8	0.5	366.5	366.5	366.5
4	28	3	9	0	266.6	966.9	966.9
4	36	4	10	0.7	316.4	418.1	1816.7
4	11	1	11	0.6	466.7	466.7	466.7
4	13	2	12	0.3	817.3	817.3	817.3
4	34	3	13	0.15	2032.7	2032.7	2032.7
4	33	4	14	0.4	850	850	1314.3
4	24	1	15	0	199.8	199.8	199.8
4	7	2	16	0	1198.8	2231.3	2414.6
4	17	3	17	0	249.9	249.9	782.9
4	3	4	18	0.3	483.1	1531.6	1531.6
4	23	1	19	0.8	366.6	366.6	366.6
4	18	2	20	0.05	916.2	916.2	916.2
4	1	3	21	0	482.9	482.9	482.9
4	14	4	22	0.45	1282.9	1282.9	1400.2
4	4	1	23	0.15	366.5	366.5	366.5
4	12	2	24	0	267.1	267.1	267.1
4	29	3	25	0	283.6	283.6	749.3
4	30	4	26	0.05	350	350	866.5
4	15	1	27	0	250.5	250.5	417.3
4	40	2	28	0	165	165	165
4	22	3	29	0	150.6	150.6	750.4
4	5	4	30	0.5	733.1	733.1	1166.8
4	39	1	31	0	0	0	0
4	19	2	32	0.35	1316.2	1899.6	1899.6
4	2	3	33	0	533.1	533.1	533.1
4	38	4	34	0.2	1214.6	1664.5	1964.2
4	32	1	35	0.1	384.4	384.4	384.4
4	26	2	36	0.05	366.6	699.8	699.8
4	35	3	37	0.05	1099.6	1099.6	1099.6
4	37	4	38	0.1	1466.9	1466.9	1466.9
4	10	1	39	0.35	317.5	467.4	467.4
4	16	2	40	0.1	1682.8	1682.8	1682.8
4	17	3	41	0.15	249.4	1849.6	1849.6
4	34	4	42	0	1799.1	1799.1	1799.1
4	7	1	43	0.25	349.8	466.5	466.5
4	32	2	44	0	166.5	166.5	3164.5
4	29	3	45	0	649.9	649.9	649.9
4	39	4	46	0.3	666.8	666.8	850.5
4	22	1	47	0	666.5	666.5	666.5
4	30	2	48	0.1	566.3	566.3	1102
4	18	3	49	0.1	467.2	1017	2413.7
4	38	4	50	0.9	316.4	316.4	1782.9
4	23	1	51	0.9	233.9	233.9	233.9
4	33	2	52	0.65	733	733	3115.6
4	40	3	53	0.1	183.4	183.4	1751.2
4	14	4	54	0.95	266.9	665.8	2752.2
4	15	1	55	0	548.6	548.6	548.6
4	6	2	56	0.6	633.5	633.5	633.5
4	26	3	57	0.4	149.9	533.2	1333.2
4	8	4	58	0.65	265.8	1464.1	1464.1
4	35	1	59	0.8	649.3	649.3	649.3
4	37	2	60	0.1	149.5	2985.6	2985.6
4	12	3	61	0.05	366.5	366.5	499.8
4	25	4	62	0	399.8	600	1315.5
4	27	1	63	0.15	149.9	149.9	234.5
4	2	2	64	0	1717.4	1717.4	2933.7
4	11	3	65	0	184.4	184.4	184.4
4	1	4	66	0.15	399.5	2217	2367.5
4	24	1	67	0.05	1249.4	1249.4	1249.4
4	13	2	68	0.05	699.7	699.7	1765.3
4	20	3	69	0	467.4	467.4	467.4
4	4	4	70	0.3	216.5	216.5	1400.9
4	36	1	71	0.05	100	100	516.5
4	28	2	72	0.6	666.1	1866.7	1866.7
4	10	3	73	0	383.4	568	568
4	19	4	74	0	166.6	698.8	698.8
4	9	1	75	0.45	0	0	0
4	31	2	76	0	315.7	1532.9	1532.9
4	3	3	77	0	1149.5	1149.5	1149.5
4	16	4	78	0.05	583.1	918.4	3055
4	21	1	79	0.1	416	416	632.5
4	5	2	80	0.6	649.1	649.1	649.1
5	21	1	1	0	266.6	266.6	450
5	38	2	2	0.2	0	0	0
5	39	3	3	0.2	149.4	149.4	149.4
5	31	4	4	0	317	317	1848.1
5	11	1	5	0.4	116.6	366.5	582.6
5	7	2	6	0.95	1067.6	1450.8	1450.8
5	15	3	7	0	115.9	115.9	2097
5	22	4	8	0.5	166.7	166.7	2931.7
5	19	1	9	0	416.7	416.7	699.4
5	33	2	10	0.7	367	517.8	517.8
5	1	3	11	0.6	300	300	985.6
5	34	4	12	0.3	249.9	249.9	249.9
5	30	1	13	0.15	150.1	150.1	150.1
5	17	2	14	0.4	150.2	150.2	150.2
5	28	3	15	0	599.2	599.2	599.2
5	18	4	16	0	266.5	266.5	883
5	12	1	17	0	267.2	267.2	267.2
5	26	2	18	0.3	249	249	249
5	6	3	19	0.8	700.2	1683.2	1683.2
5	25	4	20	0.05	0	0	0
