Participant_Num	Frame_Num	Condition	Fixation_Num	Pupil_Size	Fixation_Time	Trial	Word_pred
1	58	1	4	2.8	467.2	15	0.65
1	58	1	5	2.7	316.4	15	0.65
1	59	2	1	2.4	233.9	79	0.8
1	59	2	2	2.5	733	79	0.8
1	59	2	3	2.6	183.4	79	0.8
1	59	2	4	2.6	266.9	79	0.8
1	59	2	5	2.5	548.6	79	0.8
1	60	3	1	2.8	633.5	64	0.1
1	60	3	2	2.8	149.9	64	0.1
1	60	3	3	2.8	265.8	64	0.1
1	60	3	4	NA	649.3	64	0.1
1	60	3	5	NA	149.5	64	0.1
1	61	4	1	2.5	366.5	43	0.05
1	61	4	2	2.5	399.8	43	0.05
1	61	4	3	2.6	149.9	43	0.05
1	61	4	4	2.7	1717.4	43	0.05
1	61	4	5	2.5	184.4	43	0.05
1	62	1	1	2.6	399.5	25	0
1	62	1	2	2.7	1249.4	25	0
1	62	1	3	2.8	699.7	25	0
1	62	1	4	2.8	467.4	25	0
1	62	1	5	2.7	216.5	25	0
1	63	2	1	2.7	100	59	0.15
1	63	2	2	2.6	666.1	59	0.15
1	63	2	3	2.6	383.4	59	0.15
1	63	2	4	2.6	166.6	59	0.15
1	63	2	5	2.6	NA	59	0.15
1	64	3	1	2.8	315.7	7	0
1	64	3	2	2.9	1149.5	7	0
1	64	3	3	2.9	583.1	7	0
1	64	3	4	2.8	416	7	0
1	64	3	5	2.9	649.1	7	0
1	65	4	1	2.7	266.6	14	0
1	65	4	2	2.8	NA	14	0
1	65	4	3	2.9	149.4	14	0
1	65	4	4	3	317	14	0
1	65	4	5	2.8	116.6	14	0
1	66	1	1	2.5	1067.6	22	0.15
1	66	1	2	2.6	115.9	22	0.15
1	66	1	3	2.7	166.7	22	0.15
1	66	1	4	2.7	416.7	22	0.15
1	66	1	5	2.6	367	22	0.15
1	67	2	1	2.8	300	3	0.05
1	67	2	2	2.7	249.9	3	0.05
1	67	2	3	2.7	150.1	3	0.05
1	67	2	4	2.8	150.2	3	0.05
1	67	2	5	2.7	599.2	3	0.05
1	68	3	1	2.7	266.5	18	0.05
1	68	3	2	2.7	267.2	18	0.05
1	68	3	3	2.7	249	18	0.05
1	68	3	4	2.7	700.2	18	0.05
1	68	3	5	2.7	NA	18	0.05
1	69	4	1	2.6	233.3	42	0
1	69	4	2	2.6	533.3	42	0
1	69	4	3	2.6	316.7	42	0
1	69	4	4	2.6	150.6	42	0
1	69	4	5	2.6	133.3	42	0
1	70	1	1	2.6	299.9	6	0.3
1	70	1	2	2.7	250	6	0.3
1	70	1	3	2.8	616.3	6	0.3
1	70	1	4	2.7	166.6	6	0.3
1	70	1	5	2.7	249.6	6	0.3
1	71	2	1	2.8	283.4	17	0.05
1	71	2	2	2.7	265.7	17	0.05
1	71	2	3	2.7	215.9	17	0.05
1	71	2	4	2.8	216.5	17	0.05
1	71	2	5	2.7	234.8	17	0.05
1	72	3	1	2.6	216.8	24	0.6
1	72	3	2	2.7	299.8	24	0.6
1	72	3	3	2.7	NA	24	0.6
1	72	3	4	2.8	699.6	24	0.6
1	72	3	5	2.7	198.8	24	0.6
1	73	4	1	2.6	216.5	71	0
1	73	4	2	2.7	232.9	71	0
1	73	4	3	2.6	267.1	71	0
1	73	4	4	2.6	1149.3	71	0
1	73	4	5	2.7	333.1	71	0
1	74	1	1	2.6	283.1	40	0
1	74	1	2	2.6	283.3	40	0
1	74	1	3	2.6	200.4	40	0
1	74	1	4	2.6	432.6	40	0
1	74	1	5	2.6	233.3	40	0
1	75	2	1	2.7	266.5	28	0.45
1	75	2	2	2.7	333.3	28	0.45
1	75	2	3	2.6	NA	28	0.45
1	75	2	4	2.5	982.9	28	0.45
1	75	2	5	2.7	201.5	28	0.45
1	76	3	1	2.8	384	65	0
1	76	3	2	2.9	283.3	65	0
1	76	3	3	2.9	NA	65	0
1	76	3	4	2.8	NA	65	0
1	76	3	5	2.9	283.1	65	0
1	77	4	1	2.7	450.5	34	0
1	77	4	2	2.6	NA	34	0
1	77	4	3	2.6	799.8	34	0
1	77	4	4	2.6	399.4	34	0
1	77	4	5	2.6	266.7	34	0
1	78	1	1	2.5	250.1	78	0.05
1	78	1	2	2.5	266.5	78	0.05
1	78	1	3	2.5	266.6	78	0.05
1	78	1	4	2.6	NA	78	0.05
1	78	1	5	2.5	516.4	78	0.05
1	79	2	1	2.7	466.4	63	0.1
1	79	2	2	2.7	316.6	63	0.1
1	79	2	3	2.7	216.5	63	0.1
1	79	2	4	2.8	199.9	63	0.1
1	79	2	5	2.7	316.5	63	0.1
